index,School,Nickname,Location,Conference,Region,Surface,Enrollment,Match,2021 Link,2022 Link
32,Buffalo State,Bengals,"Buffalo, NY",LL,2.0,Turf,8797.0,Buffalo St.,http://www.buffalostateathletics.com/sports/football/schedule/2021,http://www.buffalostateathletics.com/sports/football/schedule/2022
33,Cal Lutheran,Kingsmen,"Thousand Oaks, CA",SCIAC,6.0,Turf,2477.0,Cal Lutheran,http://www.clusports.com//sports/fball/2021-22/schedule,http://www.clusports.com//sports/fball/2022-23/schedule
34,Capital,Comets,"Columbus, OH",OAC,4.0,Turf,2329.0,Capital,http://athletics.capital.edu//sports/football/schedule/2021,http://athletics.capital.edu//sports/football/schedule/2022
35,Carleton,Knights,"Northfield, MN",MIAC,6.0,Grass,2023.0,Carleton College,https://athletics.carleton.edu/sports/football/schedule/2021,https://athletics.carleton.edu/sports/football/schedule/2022
36,Carnegie Mellon,Tartans,"Pittsburgh, PA",PAC,2.0,Turf,5609.0,Carnegie Mellon,http://athletics.cmu.edu//sports/fball/2021-22/schedule,http://athletics.cmu.edu//sports/fball/2022-23/schedule
37,Carroll,Pioneers,"Waukesha, WI",CCIW,5.0,Turf,2493.0,Carroll (WI),http://gopios.com//sports/football/schedule/2021,http://gopios.com//sports/football/schedule/2022
38,Carthage,Firebirds,"Kenosha, WI",CCIW,5.0,Turf,2533.0,Carthage,https://athletics.carthage.edu//sports/football/schedule/2021,https://athletics.carthage.edu//sports/football/schedule/2022
39,Case Western Reserve,Spartans,"Cleveland, OH",PAC,2.0,Turf,4966.0,Case Western Reserve,http://athletics.case.edu//sports/fball/2021-22/schedule,http://athletics.case.edu//sports/fball/2022-23/schedule
40,Castleton,Spartans,"Castleton, VT",ECFC,1.0,Turf,1718.0,Castleton,http://www.castletonsports.com//sports/football/schedule/2021,http://www.castletonsports.com//sports/football/schedule/2022
41,Catholic,Cardinals,"Washington, DC",NEWMAC,1.0,Turf,3409.0,Catholic,http://www.catholicathletics.com/sports/fball/2021-22/schedule,http://www.catholicathletics.com/sports/fball/2022-23/schedule
42,Central,Dutch,"Pella, Iowa",ARC,5.0,Turf,1179.0,Central College,https://athletics.central.edu/sports/football/schedule/2021,https://athletics.central.edu/sports/football/schedule/2022
43,Centre,Colonels,"Danville, KY",SAA,3.0,Turf,1337.0,Centre,http://centrecolonels.com/sports/football/schedule/2021,http://centrecolonels.com/sports/football/schedule/2022
44,Chapman,Panthers,"Orange, CA",SCIAC,6.0,Turf,5433.0,Chapman,https://www.chapmanathletics.com/sports/fball/2021-22/schedule,https://www.chapmanathletics.com/sports/fball/2022-23/schedule
45,Chicago,Maroons,"Chicago, IL",MWC,5.0,Turf,4955.0,Chicago,http://athletics.uchicago.edu//sports/fball/2021-22/schedule,http://athletics.uchicago.edu//sports/fball/2022-23/schedule
46,Christopher Newport,Captains,"Newport News, VA",NJAC,2.0,Grass,4962.0,Chris. Newport,http://www.cnusports.com//sports/football/schedule/2021,http://www.cnusports.com//sports/football/schedule/2022
47,Claremont-Mudd-Scripps,Stags,"Claremont, CA",SCIAC,6.0,Grass,2873.0,Claremont-Mudd-Scripps,https://www.cmsathletics.org/sports/fball/2021-22/schedule,https://www.cmsathletics.org/sports/fball/2022-23/schedule
48,Coast Guard,Bears,"New London, CT",NEWMAC,1.0,Turf,963.0,Coast Guard,http://www.uscgasports.com//sports/fball/2021-22/schedule,http://www.uscgasports.com//sports/fball/2022-23/schedule
49,Coe,Kohawks,"Cedar Rapids, IA",ARC,5.0,Turf,1343.0,Coe College,https://kohawkathletics.com/sports/football/schedule/2021,https://kohawkathletics.com/sports/football/schedule/2022
50,Colby,Mules,"Waterville, ME",NESCAC,1.0,Turf,1847.0,Colby,http://gocolbymules.com//sports/football/schedule/2021,http://gocolbymules.com//sports/football/schedule/2022
51,Concordia (Wis.),Falcons,"Mequon, WI",NACC,5.0,Turf,2521.0,Concordia Wisconsin,https://www.cuwfalcons.com//sports/fball/2021-22/schedule,https://www.cuwfalcons.com//sports/fball/2022-23/schedule
52,Concordia-Chicago,Cougars,"River Forest, IL",NACC,5.0,Turf,1025.0,Concordia Chicago,http://www.cucougars.com/sports/football/schedule/2021,http://www.cucougars.com/sports/football/schedule/2022
