Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID,ID,Institution
Delaware Blue Hens,University of Delaware,Blue Hens,Colonial Athletic Association,1AA,DE,DEL,DEUN,180.0,180.0,Delaware
Delaware State Hornets,Delaware State University,Hornets,Mid-Eastern Athletic Conference,1AA,DSU,DEL,DEST,178.0,178.0,Delaware St.
Delaware Valley Aggies,Delaware Valley College,Aggies,Middle Atlantic Conference,3,DVC,DEL,PADV,179.0,179.0,Delaware Valley
Delta State Statesmen,Delta State University,Statesmen,Gulf South Conference,2,DEL,DSU,MSDE,181.0,181.0,Delta St.
Denison Big Red,Denison University,Big Red,North Coast Athletic Conference,3,DEN,DU,OHDN,182.0,182.0,Denison
DePauw Tigers,DePauw University,Tigers,North Coast Athletic Conference,3,DEP,DU,INDE,177.0,177.0,DePauw
Dickinson Blue Hawks,Dickinson State University,Blue Hawks,North Star Athletic Association,NAIA,DSU,DIC,NDDI,506123.0,506123.0,Dickinson St.
Dickinson Red Devils,Dickinson College,Red Devils,Centennial Conference,3,DIC,DC,PADI,185.0,185.0,Dickinson
Dixie Red Storm,Dixie State College of Utah,Red Storm,Great Northwest Athletic Conference,2,DIX,DSC,UTDX,30095.0,30095.0,Utah Tech
Doane Tigers,Doane College,Tigers,Great Plains Athletic Conference,NAIA,DO,DC,NEDO,30082.0,,
Dordt Defenders,Dordt College,Defenders,Great Plains Athletic Conference,NAIA,DOR,DC,IADO,501390.0,501390.0,Dordt
Drake Bulldogs,Drake University,Bulldogs,Pioneer Football League,1AA,DRA,DU,IADR,189.0,189.0,Drake
Dubuque Spartans,University of Dubuque,Spartans,Iowa Intercollegiate Athletic Conference,3,DUB,UD,IADU,192.0,192.0,Dubuque
Duke Blue Devils,Duke University,Blue Devils,Atlantic Coast Conference,1A,DUK,DU,NCDU,193.0,193.0,Duke
Duquesne Dukes,Duquesne University,Dukes,Northeast Conference,1AA,DUQ,DU,PADU,194.0,194.0,Duquesne
Earlham Quakers,Earlham College,Quakers,Heartland Collegiate Athletic Conference,3,EAR,EC,INEA,195.0,195.0,Earlham
East Carolina Pirates,East Carolina University,Pirates,American Athletic Conference,1A,ECU,EC,NCEA,196.0,196.0,East Carolina
East Central Tigers,East Central University,Tigers,Great American Conference,2,ECT,EC,OKEC,8965.0,8965.0,East Central
East Stroudsburg Warriors,East Stroudsburg University,Warriors,Pennsylvania State Athletic Conference,2,ESU,ES,PAES,197.0,197.0,East Stroudsburg
East Tennessee Buccaneers,East Tennessee State University,Buccaneers,Independent,1AA,ETS,ETU,TNEA,198.0,198.0,ETSU
East Texas Baptist Tigers,East Texas Baptist University,Tigers,American Southwest Conference,3,ETB,ETU,TXBP,1062.0,1062.0,East Tex. Baptist
Eastern Illinois Panthers,Eastern Illinois University,Panthers,Ohio Valley Conference,1AA,EIU,EI,ILEA,201.0,201.0,Eastern Ill.
Eastern Kentucky Colonels,Eastern Kentucky University,Colonels,Ohio Valley Conference,1AA,EKU,EK,KYEA,202.0,202.0,Eastern Ky.
Eastern Michigan Eagles,Eastern Michigan University,Eagles,Mid-American Conference,1A,EMU,EM,MIEA,204.0,204.0,Eastern Mich.
Eastern New Mexico Greyhounds,Eastern New Mexico University,Greyhounds,Lone Star Conference,2,ENM,ENU,NMEA,206.0,206.0,Eastern N.M.
Eastern Oregon Mountaineers,Eastern Oregon University,Mountaineers,Frontier Conference,NAIA,EOU,EO,OREA,506406.0,506406.0,Eastern Ore.
Eastern Washington Eagles,Eastern Washington University,Eagles,Big Sky Conference,1AA,EWU,EW,WAEA,207.0,207.0,Eastern Wash.
Edinboro Fighting Scots,Edinboro University,Fighting Scots,Pennsylvania State Athletic Conference,2,EU,EDI,PAED,209.0,209.0,Edinboro
Edward Waters Tigers,Edward Waters College,Tigers,The Sun Conference,NAIA,EDW,EWC,FLEW,501555.0,,
Elizabeth City Vikings,Elizabeth City State University,Vikings,Central Intercollegiate Athletic Association,2,ECS,EC,NCEC,210.0,210.0,Elizabeth City St.
Elmhurst Blue Jays,Elmhurst College,Blue Jays,College Conference of Illinois and Wisconsin,3,ELM,EC,ILEL,212.0,212.0,Elmhurst
Elon Phoenix,Elon University,Phoenix,Colonial Athletic Association,1AA,ELO,ELN,NCEL,1068.0,1068.0,Elon
Emory & Henry Wasps,Emory & Henry College,Wasps,Old Dominion Athletic Conference,3,EHC,EMO,VAEH,216.0,216.0,Emory & Henry
Emporia State Hornets,Emporia State University,Hornets,Mid-America Intercollegiate Athletic Association,2,ESH,EMP,KSTH,1071.0,1071.0,Emporia St.
Endicott Gulls,Endicott College,Gulls,New England Football Conference,3,END,EC,MAEN,8981.0,8981.0,Endicott
Eureka Red Devils,Eureka College,Red Devils,Upper Midwest Athletic Conference,3,EUR,EC,ILEU,218.0,218.0,Eureka
Evangel Crusaders,Evangel University,Crusaders,Heart of America Athletic Conference,NAIA,EVA,EU,MOEV,506080.0,506080.0,Evangel
Fairleigh Dickinson-Florham Devils,Fairleigh Dickinson University-Florham,Devils,Middle Atlantic Conference,3,FDF,FDU,NJFD,221.0,221.0,FDU-Florham
Fairmont State Fighting Falcons,Fairmont State College,Fighting Falcons,Mountain East Conference,2,FSC,FAI,WVFA,1076.0,1076.0,Fairmont St.
Faith Glory Eagles,University of Faith,Glory Eagles,Independent,OTHER,UF,FAI,FLFT,506485.0,,
Faulkner Eagles,Faulkner University,Eagles,Mid-South Conference,NAIA,FU,FLK,ALFA,501659.0,501659.0,Faulkner
Fayetteville State Broncos,Fayetteville State University,Broncos,Central Intercollegiate Athletic Association,2,FAY,FSU,NCFA,223.0,223.0,Fayetteville St.
Ferris State Bulldogs,Ferris State University,Bulldogs,Great Lakes Intercollegiate Athletic Conference,2,FER,FSU,MIFE,224.0,224.0,Ferris St.
Ferrum Panthers,Ferrum College,Panthers,USA South Athletic Conference,3,FCP,FC,VAFC,225.0,225.0,Ferrum
Findlay Oilers,University of Findlay,Oilers,Great Lakes Intercollegiate Athletic Conference,2,FIN,UF,OHFI,1079.0,1079.0,Findlay
Finlandia Lions,Finlandia University,Lions,Independent,3,FUL,FU,MIFI,30032.0,,
Fitchburg State Falcons,Fitchburg State College,Falcons,Massachusetts State College Athletic Conference,3,FIT,FSC,MAFI,227.0,227.0,Fitchburg St.
Florida A&M Rattlers,Florida A&M University,Rattlers,Mid-Eastern Athletic Conference,1AA,FAM,FL,FLAM,228.0,228.0,Florida A&M
Florida Atlantic Owls,Florida Atlantic University,Owls,Conference USA,1A,FAU,FL,FLAT,229.0,229.0,Fla. Atlantic
Florida Gators,University of Florida,Gators,Southeastern Conference,1A,FL,FLO,FLUN,235.0,235.0,Florida
Florida International Golden Panthers,Florida International University,Golden Panthers,Conference USA,1A,FIU,FL,FLIN,231.0,231.0,FIU
Florida State Seminoles,Florida State University,Seminoles,Atlantic Coast Conference,1A,FSU,FL,FLST,234.0,234.0,Florida St.
Florida Tech Panthers,Florida Institute of Technology,Panthers,Gulf South Conference,2,FT,FTU,FLTC,230.0,230.0,Florida Tech
Fordham Rams,Fordham University,Rams,Patriot League,1AA,FOR,FU,NYFO,236.0,236.0,Fordham
Fort Hays Tigers,Fort Hays State University,Tigers,Mid-America Intercollegiate Athletic Association,2,FH,FHS,KSFH,9011.0,9011.0,Fort Hays St.
Fort Lewis Skyhawks,Fort Lewis College,Skyhawks,Rocky Mountain Athletic Conference,2,FLS,FLC,COFL,1083.0,1083.0,Fort Lewis
Fort Valley Wildcats,Fort Valley State University,Wildcats,Southern Intercollegiate Athletic Conference,2,FV,FVS,GAFV,237.0,237.0,Fort Valley St.
Framingham State Rams,Framingham State College,Rams,Massachusetts State College Athletic Conference,3,FRA,FSC,MAFR,238.0,238.0,Framingham St.
Franklin & Marshall Diplomats,Franklin & Marshall College,Diplomats,Centennial Conference,3,FM,FMC,PAFM,239.0,239.0,Franklin & Marshall
Franklin Grizzlies,Franklin College,Grizzlies,Heartland Collegiate Athletic Conference,3,FCG,FRK,INFR,2694.0,2694.0,Franklin
Fresno State Bulldogs,Fresno State University,Bulldogs,Mountain West Conference,1A,FSB,FRE,CAFR,96.0,96.0,Fresno St.
Friends Falcons,Friends University,Falcons,Kansas Collegiate Athletic Conference,NAIA,FRI,FU,KSFR,501826.0,501826.0,Friends
Frostburg State Bobcats,Frostburg State University,Bobcats,New Jersey Athletic Conference,3,FRO,FSU,MDFR,243.0,243.0,Frostburg St.
Furman Paladins,Furman University,Paladins,Southern Conference,1AA,FUR,FU,SCFU,244.0,244.0,Furman
Gallaudet Bison,Gallaudet University,Bison,Eastern Collegiate Football Conference,3,GAL,GU,DCGA,245.0,245.0,Gallaudet
Gannon Golden Knights,Gannon University,Golden Knights,Pennsylvania State Athletic Conference,2,GAN,GU,PAGA,246.0,246.0,Gannon
Gardner-Webb Runnin' Bulldogs,Gardner-Webb University,Runnin' Bulldogs,Big South Conference,1AA,GW,GWU,NCGW,1092.0,1092.0,Gardner-Webb
Geneva Golden Tornadoes,Geneva College,Golden Tornadoes,Presidents Athletic Conference,3,GEN,GC,PAGN,30084.0,30084.0,Geneva
George Fox Bruin,George Fox University,Bruin,Northwest Conference,3,GF,GFU,ORGF,1094.0,1094.0,George Fox
Georgetown Hoyas,Georgetown University,Hoyas,Patriot League,1AA,GEO,GU,DCGT,251.0,251.0,Georgetown
Georgetown Tigers,Georgetown College (Ky.),Tigers,Mid-South Conference,NAIA,GEO,GC,KYGT,506003.0,506003.0,Georgetown (KY)
Georgia Bulldogs,University of Georgia,Bulldogs,Southeastern Conference,1A,GA,GEO,GAUN,257.0,257.0,Georgia
Georgia Southern Eagles,Georgia Southern University,Eagles,Sun Belt Conference,1A,GS,GSU,GASO,253.0,253.0,Ga. Southern
Georgia State Panthers,Georgia State University,Panthers,Sun Belt Conference,1A,GAS,GEO,GAST,254.0,254.0,Georgia St.
Georgia Tech Yellow Jackets,Georgia Institute of Technology,Yellow Jackets,Atlantic Coast Conference,1A,GIT,GA,GATC,255.0,255.0,Georgia Tech
Gettysburg Bullets,Gettysburg College,Bullets,Centennial Conference,3,GET,GC,PAGB,258.0,258.0,Gettysburg
Glenville State Pioneers,Glenville State College,Pioneers,Mountain East Conference,2,GLE,GSC,WVGL,1098.0,1098.0,Glenville St.
Grambling State Tigers,Grambling State University,Tigers,Southwestern Athletic Conference,1AA,GRA,GSU,LAGR,261.0,261.0,Grambling
Grand Valley State Lakers,Grand Valley State University,Lakers,Great Lakes Intercollegiate Athletic Conference,2,GV,GVS,MIGV,262.0,262.0,Grand Valley St.
Grand View Vikings,Grand View University,Vikings,Mid-States Football Association,NAIA,GV,GVU,IAGV,501982.0,501982.0,Grand View
Greensboro Pride,Greensboro College,Pride,USA South Athletic Conference,3,GRE,GC,NCGR,263.0,263.0,Greensboro
Greenville Panthers,Greenville College,Panthers,Upper Midwest Athletic Conference,3,GCP,GC,ILGV,1111.0,1111.0,Greenville
Grinnell Pioneers,Grinnell College,Pioneers,Midwest Conference,3,GRI,GC,IAGN,264.0,264.0,Grinnell
Grove City Wolverines,Grove City College,Wolverines,Presidents Athletic Conference,3,GRO,GCC,PAGC,265.0,265.0,Grove City
Guilford Quakers,Guilford College,Quakers,Old Dominion Athletic Conference,3,GUI,GC,NCGU,1112.0,1112.0,Guilford
Gustavus Adolphus Golden Gusties,Gustavus Adolphus College,Golden Gusties,Minnesota Intercollegiate Athletic Conference,3,GUS,GAC,MNGA,266.0,266.0,Gust. Adolphus
Hamilton Continentals,Hamilton College,Continentals,New England Small College Athletic Conference,3,HAC,HC,NYHA,267.0,267.0,Hamilton
Hamline Pipers,Hamline University,Pipers,Minnesota Intercollegiate Athletic Conference,3,HAP,HU,MNHA,268.0,268.0,Hamline
Hampden-Sydney Tigers,Hampden-Sydney College,Tigers,Old Dominion Athletic Conference,3,HSC,HAM,VAHS,269.0,269.0,Hampden-Sydney
Hampton Pirates,Hampton University,Pirates,Mid-Eastern Athletic Conference,1AA,HAM,HU,VAHI,270.0,270.0,Hampton
Hanover Panthers,Hanover College,Panthers,Heartland Collegiate Athletic Conference,3,HAN,HC,INHA,1115.0,1115.0,Hanover
Hardin-Simmons Cowboys,Hardin-Simmons University,Cowboys,American Southwest Conference,3,HSU,HAR,TXHS,271.0,271.0,Hardin-Simmons
Harding Bison,Harding University,Bison,Great American Conference,2,HRB,HU,ARHA,1116.0,1116.0,Harding
Hartwick Hawks,Hartwick College,Hawks,Empire 8 Conference,3,HRH,HC,NYHW,273.0,273.0,Hartwick
Harvard Crimson,Harvard University,Crimson,Ivy League,1AA,HAR,HRV,MAHA,275.0,275.0,Harvard
Haskell Indians,Haskell Indian Nations University,Indians,Independent,NAIA,HAS,HIN,KSHA,506153.0,506153.0,Haskell
Hastings Broncos,Hastings College,Broncos,Great Plains Athletic Conference,NAIA,HAS,HC,NEHA,30113.0,,
Hawaii Warriors,University of Hawaii,Warriors,Mountain West Conference,1A,HI,HAW,HIUN,277.0,277.0,Hawaii
Heidelberg Student Princes,Heidelberg College,Student Princes,Ohio Athletic Conference,3,HEI,HC,OHHE,278.0,278.0,Heidelberg
Henderson State Reddies,Henderson State University,Reddies,Great American Conference,2,HEN,HSU,ARHE,1123.0,1123.0,Henderson St.
Hendrix Warriors,Hendrix College,Warriors,Southern Athletic Association,3,HCW,HC,ARHN,1124.0,1124.0,Hendrix
Hillsdale Chargers,Hillsdale College,Chargers,Great Lakes Intercollegiate Athletic Conference,2,HIL,HC,MIHI,280.0,280.0,Hillsdale
Hiram Terriers,Hiram College,Terriers,North Coast Athletic Conference,3,HIR,HC,OHHI,281.0,281.0,Hiram
Hobart Statesmen,Hobart and William Smith Colleges,Statesmen,Liberty League,3,HOB,HWS,NYHB,282.0,282.0,Hobart
Holy Cross Crusaders,College of the Holy Cross,Crusaders,Patriot League,1AA,HC,HOL,MAHC,285.0,285.0,Holy Cross
Hope Flying Dutchmen,Hope College,Flying Dutchmen,Michigan Intercollegiate Athletic Association,3,HOP,HC,MIHO,286.0,286.0,Hope
Houston Baptist Huskies,Houston Baptist University,Huskies,Southland Conference,1AA,HBU,HB,TXHT,287.0,287.0,Houston Christian
Houston Cougars,University of Houston,Cougars,American Athletic Conference,1A,HOU,HST,TXHO,288.0,288.0,Houston
Howard Bison,Howard University,Bison,Mid-Eastern Athletic Conference,1AA,HOW,HU,DCHO,290.0,290.0,Howard
Howard Payne Yellow Jackets,Howard Payne University,Yellow Jackets,American Southwest Conference,3,HP,HPU,TXHP,2741.0,2741.0,Howard Payne
Humboldt State Lumberjacks,Humboldt State University,Lumberjacks,Great Northwest Athletic Conference,2,HUM,HSU,CAHU,291.0,291.0,Cal Poly Humboldt
Huntingdon Hawks,Huntingdon College,Hawks,USA South Athletic Conference,3,HUN,HC,ALHU,1130.0,1130.0,Huntingdon
Husson Eagles,Husson University,Eagles,Eastern Collegiate Football Conference,3,HUS,HU,MEHU,1133.0,1133.0,Husson
Idaho State Bengals,Idaho State University,Bengals,Big Sky Conference,1AA,ISB,IDA,IDST,294.0,294.0,Idaho St.
Idaho Vandals,University of Idaho,Vandals,Sun Belt Conference,1A,ID,IDA,IDUN,295.0,295.0,Idaho
Illinois Blueboys,Illinois College,Blueboys,Midwest Conference,3,ILB,ILL,ILCL,297.0,297.0,Illinois Col.
Illinois Fighting Illini,University of Illinois,Fighting Illini,Big Ten Conference,1A,IL,ILL,ILUN,301.0,301.0,Illinois
Illinois State Redbirds,Illinois State University,Redbirds,Missouri Valley Football Conference,1AA,ILS,ILL,ILST,299.0,299.0,Illinois St.
Illinois Wesleyan Titans,Illinois Wesleyan University,Titans,College Conference of Illinois and Wisconsin,3,IWU,ILL,ILWS,300.0,300.0,Ill. Wesleyan
Incarnate Word Cardinals,University of the Incarnate Word,Cardinals,Southland Conference,1AA,INC,UIW,TXIW,2743.0,2743.0,UIW
Indiana Hoosiers,Indiana University,Hoosiers,Big Ten Conference,1A,IN,IND,INUN,306.0,306.0,Indiana
Indiana State Sycamores,Indiana State University,Sycamores,Missouri Valley Football Conference,1AA,ISS,IND,INST,305.0,305.0,Indiana St.
Indiana University Crimson Hawks,Indiana University of Pennsylvania,Crimson Hawks,Pennsylvania State Athletic Conference,2,IUP,IND,PAIU,307.0,307.0,Indiana (PA)
Indianapolis Greyhounds,University of Indianapolis,Greyhounds,Great Lakes Valley Conference,2,IND,UI,INCE,309.0,309.0,UIndy
Iowa Hawkeyes,University of Iowa,Hawkeyes,Big Ten Conference,1A,IA,IOW,IAUN,312.0,312.0,Iowa
Iowa State Cyclones,Iowa State University,Cyclones,Big Twelve Conference,1A,ISU,IAS,IAST,311.0,311.0,Iowa St.
Iowa Wesleyan Tigers,Iowa Wesleyan College,Tigers,Upper Midwest Athletic Conference,3,IW,IWC,IAWS,30173.0,,
Ithaca Bombers,Ithaca College,Bombers,Empire 8 Conference,3,ITH,IC,NYIT,313.0,313.0,Ithaca
Jackson State Tigers,Jackson State University,Tigers,Southwestern Athletic Conference,1AA,JAC,JAX,MSJA,314.0,314.0,Jackson St.
Jacksonville Dolphins,Jacksonville University,Dolphins,Pioneer Football League,1AA,JXD,JAX,FLJA,316.0,316.0,Jacksonville
Jacksonville State Gamecocks,Jacksonville State University,Gamecocks,Ohio Valley Conference,1AA,JXS,JAX,ALJA,315.0,315.0,Jacksonville St.
James Madison Dukes,James Madison University,Dukes,Colonial Athletic Association,1AA,JMU,JAM,VAJM,317.0,317.0,James Madison
Jamestown Jimmies,University of Jamestown,Jimmies,North Star Athletic Association,NAIA,JAM,UJ,NDJA,506057.0,506057.0,Jamestown
John Carroll Blue Streaks,John Carroll University,Blue Streaks,Ohio Athletic Conference,3,JC,JCU,OHJC,320.0,320.0,John Carroll
Johns Hopkins Blue Jays,Johns Hopkins University,Blue Jays,Centennial Conference,3,JH,JHU,MDJH,322.0,322.0,Johns Hopkins
Johnson C. Smith Golden Bulls,Johnson C. Smith University,Golden Bulls,Central Intercollegiate Athletic Association,2,JCS,JSU,NCJC,323.0,323.0,Johnson C. Smith
Juniata Eagles,Juniata College,Eagles,Centennial Conference,3,JUN,JC,PAJU,325.0,325.0,Juniata
Kalamazoo Hornets,Kalamazoo College,Hornets,Michigan Intercollegiate Athletic Association,3,KAL,KC,MIKA,326.0,326.0,Kalamazoo
Kansas Jayhawks,University of Kansas,Jayhawks,Big Twelve Conference,1A,KS,KAN,KSUN,328.0,328.0,Kansas
Kansas State Wildcats,Kansas State University,Wildcats,Big Twelve Conference,1A,KST,KAN,KSST,327.0,327.0,Kansas St.
Kansas Wesleyan Coyotes,Kansas Wesleyan University,Coyotes,Kansas Collegiate Athletic Conference,NAIA,KW,KWU,KSWS,506103.0,506103.0,Kan. Wesleyan
Kean Cougars,Kean University,Cougars,New Jersey Athletic Conference,3,KU,KEA,NJKE,329.0,329.0,Kean
Kennesaw State Owls,Kennesaw State University,Owls,Big South Conference,1AA,KSO,KSU,GAKS,1157.0,1157.0,Kennesaw St.
Kent State Golden Flashes,Kent State University,Golden Flashes,Mid-American Conference,1A,KEN,KST,OHKS,331.0,331.0,Kent St.
Kentucky Christian Knights,Kentucky Christian,Knights,Mid-South Conference,NAIA,KC,KCU,KYCH,502500.0,502500.0,Ky. Christian
Kentucky State Thorobreds,Kentucky State University,Thorobreds,Southern Intercollegiate Athletic Conference,2,KSU,KST,KYST,332.0,332.0,Kentucky St.
Kentucky Wesleyan Panthers,Kentucky Wesleyan College,Panthers,Independent,2,KW,KWC,KYWS,333.0,333.0,Ky. Wesleyan
Kentucky Wildcats,University of Kentucky,Wildcats,Southeastern Conference,1A,KY,KEN,KYUN,334.0,334.0,Kentucky
Kenyon Lords,Kenyon College,Lords,North Coast Athletic Conference,3,KCL,KNY,OHKE,335.0,335.0,Kenyon
King's Monarchs,King's College,Monarchs,Middle Atlantic Conference,3,KC,KIN,PAKI,336.0,336.0,King's (PA)
Kings Point Mariners,United States Merchant Marine Academy,Mariners,Liberty League,3,MMA,KP,NYMM,724.0,724.0,Merchant Marine
Knox Prairie Fire,Knox College,Prairie Fire,Midwest Conference,3,KNX,KNO,ILKN,337.0,337.0,Knox
Kutztown Golden Bears,Kutztown University,Golden Bears,Pennsylvania State Athletic Conference,2,KUT,KU,PAKU,339.0,339.0,Kutztown
Lafayette Leopards,Lafayette College,Leopards,Patriot League,1AA,LAF,LAY,PALF,342.0,342.0,Lafayette
LaGrange Panthers,LaGrange College,Panthers,USA South Athletic Conference,3,LC,LAG,GALA,1162.0,1162.0,LaGrange
Lake Erie Storm,Lake Erie College,Storm,Great Lakes Intercollegiate Athletic Conference,2,LE,LEC,OHLE,2746.0,2746.0,Lake Erie
Lake Forest Foresters,Lake Forest College,Foresters,Midwest Conference,3,LFC,LAF,ILLF,344.0,344.0,Lake Forest
Lakeland Muskies,Lakeland College,Muskies,Northern Athletics Conference,3,LAK,LC,WILK,1164.0,1164.0,Lakeland
Lamar Cardinals,Lamar University,Cardinals,Southland Conference,1AA,LAM,LU,TXLA,346.0,346.0,Lamar University
Lane Dragons,Lane College,Dragons,Southern Intercollegiate Athletic Conference,2,LAN,LNE,TNLA,347.0,347.0,Lane
Langston Lions,Langston University,Lions,Central States Football League,NAIA,LAN,LU,OKLA,506054.0,506054.0,Langston
LaVerne Leopards,University of LaVerne,Leopards,Southern California Intercollegiate Athletic Conf.,3,LAV,UL,CALV,341.0,341.0,La Verne
Lawrence Vikings,Lawrence University,Vikings,Midwest Conference,3,LAW,LU,WILW,348.0,348.0,Lawrence
Lebanon Valley Dutchmen,Lebanon Valley College,Dutchmen,Middle Atlantic Conference,3,LV,LVC,PALV,351.0,351.0,Lebanon Valley
Lehigh Mountain Hawks,Lehigh University,Mountain Hawks,Patriot League,1AA,LEH,LU,PALE,352.0,352.0,Lehigh
Lenoir-Rhyne Bears,Lenoir-Rhyne College,Bears,South Atlantic Conference,2,LRC,LEN,NCLR,1170.0,1170.0,Lenoir-Rhyne
Lewis & Clark Pioneers,Lewis & Clark College,Pioneers,Northwest Conference,3,LCP,LCC,ORLC,22235.0,22235.0,Lewis & Clark
Liberty Flames,Liberty University,Flames,Big South Conference,1AA,LIB,LU,VALB,355.0,355.0,Liberty
Limestone Saints,Limestone College,Saints,Independent,2,LIM,LC,SCLC,1174.0,1174.0,Limestone
Lincoln Blue Tigers,Lincoln University of Missouri,Blue Tigers,Great Lakes Valley Conference,2,LIN,LUM,MOLN,356.0,356.0,Lincoln (MO)
Lincoln Lions,Lincoln University (Pa.),Lions,Central Intercollegiate Athletic Association,2,LCN,LU,PALN,357.0,357.0,Lincoln (PA)
Lindenwood Lions,Lindenwood University,Lions,Mid-America Intercollegiate Athletic Association,2,LUL,LU,MOLW,30136.0,30136.0,Lindenwood
Lindenwood Lynx,Lindenwood University - Belleville,Lynx,Independent,NAIA,LIN,LUB,ILLB,506373.0,506373.0,Lindenwood (IL)
Lindsey Wilson Blue Raiders,Lindsey Wilson College,Blue Raiders,Mid-South Conference,NAIA,LW,LWC,KYLW,502727.0,502727.0,Lindsey Wilson
Linfield Wildcats,Linfield College,Wildcats,Northwest Conference,3,LNW,LC,ORLI,1179.0,1179.0,Linfield
Livingstone Blue Bears,Livingstone College,Blue Bears,Central Intercollegiate Athletic Association,2,LIV,LC,NCLI,359.0,359.0,Livingstone
Lock Haven Bald Eagles,Lock Haven University,Bald Eagles,Pennsylvania State Athletic Conference,2,LH,LHU,PALH,360.0,360.0,Lock Haven
Long Island University Pioneers,Long Island University-C.W. Post,Pioneers,Northeast-10 Conference,2,LIU,CWP,NYCW,362.0,,
Loras Duhawks,Loras College,Duhawks,Iowa Intercollegiate Athletic Conference,3,LOR,LC,IALO,364.0,364.0,Loras
Louisiana State Fighting Tigers,Louisiana State University,Fighting Tigers,Southeastern Conference,1A,LSU,LOU,LAST,365.0,365.0,LSU
Louisiana Tech Bulldogs,Louisiana Tech University,Bulldogs,Conference USA,1A,LTU,LOU,LATC,366.0,366.0,Louisiana Tech
Louisiana Wildcats,Louisiana College,Wildcats,American Southwest Conference,3,LCW,LSC,LALC,1182.0,,
Louisiana-Lafayette Ragin Cajuns,University of Louisiana-Lafayette,Ragin Cajuns,Sun Belt Conference,1A,ULL,LL,LASW,671.0,671.0,Louisiana
Louisiana-Monroe Warhawks,University of Louisiana-Monroe,Warhawks,Sun Belt Conference,1A,ULM,LM,LANE,498.0,498.0,ULM
Louisville Cardinals,University of Louisville,Cardinals,Atlantic Coast Conference,1A,LOU,UL,KYLO,367.0,367.0,Louisville
Luther Norse,Luther College,Norse,Iowa Intercollegiate Athletic Conference,3,LUT,LC,IALU,372.0,372.0,Luther
Lycoming Warriors,Lycoming College,Warriors,Middle Atlantic Conference,3,LYC,LC,PALY,373.0,373.0,Lycoming
Macalester Scots,Macalester College,Scots,Midwest Conference,3,MAC,MC,MNMC,376.0,376.0,Macalester
MacMurray Highlanders,MacMurray College,Highlanders,Upper Midwest Athletic Conference,3,MCH,MC,ILMC,377.0,,
Maine Black Bears,University of Maine,Black Bears,Colonial Athletic Association,1AA,ME,UM,MEUN,380.0,380.0,Maine
Maine Maritime Mariners,Maine Maritime Academy,Mariners,New England Football Conference,3,MMM,MAI,MEMA,378.0,378.0,Maine Maritime
Malone Pioneers,Malone University,Pioneers,Great Lakes Intercollegiate Athletic Conference,2,MAL,MU,OHML,30137.0,30137.0,Malone
Manchester Spartans,Manchester College,Spartans,Heartland Collegiate Athletic Conference,3,MAN,MC,INMA,1192.0,1192.0,Manchester
Maranatha Crusaders,Maranatha Baptist College,Crusaders,Independent,3,MCC,MBC,WIMR,1194.0,1194.0,Maranatha Baptist
Marian Knights,Marian University,Knights,Mid-States Football Association,NAIA,MAR,MU,INMC,502945.0,502945.0,Marian (IN)
Marietta Pioneers,Marietta College,Pioneers,Ohio Athletic Conference,3,MAP,MC,OHMA,385.0,385.0,Marietta
Marist Red Foxes,Marist College,Red Foxes,Pioneer Football League,1AA,MCR,MC,NYMR,386.0,386.0,Marist
Maritime Privateers,SUNY - Maritime College,Privateers,Eastern Collegiate Football Conference,3,SMC,MC,NYMA,478.0,478.0,SUNY Maritime
Mars Hill Lions,Mars Hill College,Lions,South Atlantic Conference,2,MHC,MAR,NCMH,1199.0,1199.0,Mars Hill
Marshall Thundering Herd,Marshall University,Thundering Herd,Conference USA,1A,MAR,MU,WVMA,388.0,388.0,Marshall
Martin Luther Knights,Martin Luther College,Knights,Upper Midwest Athletic Conference,3,ML,MLC,MNML,8597.0,8597.0,Martin Luther
Mary Hardin-Baylor Crusaders,University of Mary Hardin-Baylor,Crusaders,American Southwest Conference,3,MHB,MAR,TXHB,1203.0,1203.0,Mary Hardin-Baylor
Mary Marauders,University of Mary,Marauders,Northern Sun Intercollegiate Conference,2,UMM,UM,NDMY,30075.0,30075.0,Mary
Maryland Terrapins,University of Maryland,Terrapins,Big Ten Conference,1A,MD,MAR,MDUN,392.0,392.0,Maryland
Maryville Scots,Maryville College,Scots,USA South Athletic Conference,3,MSC,MC,TNMA,396.0,396.0,Maryville (TN)
Massachusetts Institute of Technology Engineers,Massachusetts Institute of Technology,Engineers,New England Football Conference,3,MIT,MAS,MATC,398.0,398.0,MIT
Massachusetts Maritime Buccaneers,Massachusetts Maritime Academy,Buccaneers,Massachusetts State College Athletic Conference,3,MMB,MM,MAMA,399.0,399.0,Mass. Maritime
Massachusetts Minutemen,University of Massachusetts,Minutemen,Mid-American Conference,1A,MA,UM,MAUN,400.0,400.0,Massachusetts
Mayville State Comets,Mayville State University,Comets,North Star Athletic Association,NAIA,MSU,MAY,NDMA,502225.0,502225.0,Mayville St.
McDaniel Green Terror,McDaniel College,Green Terror,Centennial Conference,3,MCD,MDC,MDWE,773.0,773.0,McDaniel
McKendree Bearcats,McKendree College,Bearcats,Great Lakes Valley Conference,2,MCK,MC,ILMK,30138.0,30138.0,McKendree
